TITLE = "oxygen alpha" 

  VARIABLES = temp	PR_liq_alpha_01MPa	PR_liq_alpha_1MPa	PR_liq_alpha_2MPa	PR_liq_alpha_4MPa	PR_liq_alpha_5MPa	PR_liq_alpha_7MPa	PR_liq_alpha_8MPa	PR_liq_alpha_10MPa
190	0.802423017	0.806913423	0.818368574	0.841073037	0.852130377	0.873164063	0.882861819	0.899149022
191	0.796794365	0.804499913	0.81572293	0.838165656	0.849123877	0.869873493	0.879444895	0.895677407
192	0.789872929	0.801680957	0.813184572	0.835314755	0.846056306	0.866623085	0.876106559	0.892219494
193	0.79028407	0.799228122	0.810437575	0.832450105	0.843130565	0.863466288	0.872785029	0.888816508
194	0.789871587	0.797184777	0.807835315	0.82965967	0.840201902	0.86024821	0.869537822	0.885440775
195	0.788747232	0.794000098	0.805404842	0.826867566	0.83729604	0.857149985	0.866279701	0.882076344
196	0.787028152	0.79207161	0.80281167	0.824094226	0.834440228	0.853995921	0.863056746	0.878751214
197	0.784836974	0.789836509	0.800247976	0.821324816	0.831458669	0.850976153	0.859918987	0.875465692
198	0.782301899	0.787300467	0.797732613	0.818616374	0.828784524	0.847892534	0.856751047	0.87221428
199	0.779556782	0.784469673	0.79509293	0.815915996	0.825817079	0.84485695	0.853647168	0.868984882
200	0.776741214	0.78222066	0.792730236	0.813242533	0.823221487	0.841906702	0.850591788	0.865758025
201	0.7740006	0.779720773	0.790277353	0.810575547	0.820361986	0.83889519	0.847498376	0.862609118
202	0.771486228	0.777877996	0.787744865	0.807932769	0.817707922	0.836036916	0.844528483	0.859444233
203	0.769355336	0.774917572	0.785351476	0.805290567	0.81481067	0.833076061	0.841521411	0.856335204
204	0.767771179	0.772663643	0.782909207	0.802708593	0.81216745	0.83023403	0.838574262	0.853246078
205	0.766903076	0.770227517	0.780430507	0.800118584	0.809561415	0.827334385	0.835648013	0.850171626
206	0.756531753	0.768581572	0.778147809	0.797580761	0.80701287	0.824505173	0.832694913	0.847145246
207	0.757475125	0.765831852	0.775640001	0.795021184	0.804273498	0.821776139	0.829817763	0.844158656
208	0.759678192	0.763928937	0.773364204	0.792500486	0.801621291	0.818943597	0.826966855	0.841153023
209	0.752474962	0.760917251	0.771115983	0.789987254	0.799079203	0.816260624	0.824083004	0.838201169
210	0.757629216	0.75881233	0.768675173	0.787496046	0.796380555	0.813511562	0.821273751	0.835236106
211	0.75346607	0.756636847	0.766285298	0.785042072	0.793826478	0.810709408	0.818477135	0.832332813
212	0.751055211	0.754406721	0.764207182	0.782589426	0.791442498	0.808000438	0.815715111	0.829468687
213	0.750612721	0.752138562	0.761725646	0.780151283	0.788942911	0.805410982	0.813010895	0.826615414
214	0.74069408	0.74984967	0.759591051	0.777741403	0.786333067	0.802688473	0.810288915	0.823738672
215	0.744697881	0.74755805	0.757320682	0.775318986	0.783945697	0.800125975	0.807565795	0.820916205
216	0.739356269	0.745282418	0.754920511	0.772951819	0.781475172	0.79745725	0.804859159	0.818112668
217	0.736575416	0.744184821	0.752928733	0.770540474	0.778928479	0.794840873	0.802187627	0.815349326
218	0.73660104	0.74201766	0.750567771	0.768211263	0.776592788	0.792296272	0.799570796	0.812583529
219	0.739685457	0.739927103	0.748381272	0.765861156	0.774172936	0.789843719	0.796913724	0.80983292
220	0.733402446	0.736739274	0.746111094	0.763500176	0.771748189	0.787176162	0.79434704	0.807116237
221	0.730354193	0.734849589	0.744049488	0.761201013	0.769367226	0.784627127	0.791771172	0.804453292
222	0.730810281	0.733103419	0.741930227	0.758914818	0.76700622	0.782219195	0.789199622	0.801791388
223	0.721829655	0.731524597	0.739762408	0.75658835	0.764638688	0.779799043	0.786646609	0.799145982
224	0.729951799	0.728869504	0.737555525	0.75429566	0.762314833	0.777197052	0.784127068	0.796455504
225	0.715269386	0.72639452	0.735319476	0.752049043	0.759967001	0.774782829	0.781656639	0.793890775
226	0.718271078	0.724125348	0.73337232	0.749792835	0.757645507	0.772392167	0.779113071	0.791229454
227	0.711911024	0.722088457	0.73111415	0.747606108	0.755362221	0.769843997	0.776645119	0.78864614
228	0.71007448	0.720311074	0.729176539	0.745360543	0.753086442	0.767535778	0.774124895	0.786073577
229	0.713073508	0.718821189	0.726940966	0.743134711	0.750784532	0.765088857	0.771709215	0.783525313
230	0.706713608	0.716265023	0.724732001	0.740939163	0.748554048	0.762711995	0.769264396	0.781015581
231	0.705453408	0.71401553	0.722894553	0.738709933	0.746271819	0.76042036	0.76679927	0.778465397
232	0.709623252	0.712102676	0.720781519	0.736530592	0.744037038	0.758012775	0.76448291	0.775979466
233	0.704467709	0.710557188	0.718733611	0.734412829	0.741814192	0.755713043	0.762009183	0.773475274
234	0.705033629	0.707948382	0.71676451	0.732210837	0.73961287	0.753311539	0.759711577	0.771063469
235	0.696181394	0.707212801	0.714535238	0.730089505	0.737393885	0.751042272	0.757270271	0.768554313
236	0.693357641	0.705438554	0.712761281	0.727979939	0.735214891	0.748686982	0.755034411	0.766163086
237	0.69692328	0.702597778	0.710746088	0.725808065	0.733035592	0.746490053	0.752670206	0.763691217
238	0.691151994	0.700206733	0.708489039	0.723748004	0.730864254	0.744224416	0.750360516	0.76125381
239	0.692105624	0.698300244	0.706738524	0.721641813	0.728709463	0.741894376	0.747931759	0.758862894
