T,P,NIST,New,PR,New_rate,PR_rate
150,10000000,375.6265318,375.4949127,415.8389,-0.035039891,10.7054121
155,10000000,367.3918106,367.3148693,404.7224292,-0.020942572,10.16098277
160,10000000,358.8051198,358.8110451,392.9989791,0.001651396,9.529925141
165,10000000,349.8091424,349.8614217,380.6073682,0.014945103,8.804294128
170,10000000,340.3329466,340.3674332,367.4767556,0.010133199,7.975663043
175,10000000,330.2875397,330.263315,353.5253581,-0.007334436,7.035632753
180,10000000,319.5597,319.4906249,338.659828,-0.021615691,5.977014
185,10000000,308.0035553,307.9486808,322.7766475,-0.017816201,4.796403148
190,10000000,295.4297388,295.4449054,305.7686791,0.005133741,3.499627462
195,10000000,281.5936051,281.674125,287.5438237,0.028594374,2.11305174
200,10000000,266.1904705,266.2540348,268.0698688,0.023879251,0.706035164
205,10000000,248.891822,248.8450719,247.4680833,-0.018783331,-0.572031162
210,10000000,229.5336522,229.3923852,226.1674656,-0.061545204,-1.466532927
215,10000000,208.5971839,208.4879946,205.0410113,-0.052344557,-1.704803748
220,10000000,187.5935095,187.5841883,185.2771578,-0.004968809,-1.234771733
225,10000000,168.4319399,168.4777401,167.8666619,0.027192137,-0.335612067
230,10000000,152.2408793,152.2754651,153.1685676,0.022717795,0.609355548
235,10000000,139.0663063,139.0639691,140.9860967,-0.001680653,1.380485633
240,10000000,128.404836,128.3757782,130.8908771,-0.022629838,1.936096115
245,10000000,119.6818389,119.6456679,122.4477643,-0.030222667,2.311065259
250,10000000,112.4258158,112.3958145,115.295971,-0.026685428,2.552932506
255,10000000,106.286502,106.2667958,109.1575252,-0.018540647,2.701211514
260,10000000,101.0103659,100.9991584,103.8231513,-0.011095391,2.784650244
265,10000000,96.41348887,96.40711394,99.13549554,-0.006612068,2.823263324
270,10000000,92.36068304,92.35617549,94.97525897,-0.004880374,2.830832172
275,10000000,88.75088255,88.74678793,91.25088033,-0.004613608,2.816870899
280,10000000,85.50718844,85.50325158,87.89113005,-0.004604127,2.788001398
285,10000000,82.57008889,82.56658398,84.83984054,-0.00424477,2.748878769
290,10000000,79.89279458,79.88999789,82.05214367,-0.003500562,2.702808301
295,10000000,77.43798247,77.43595118,79.49176026,-0.002623113,2.652158183
300,10000000,75.17548583,75.17408139,77.12902464,-0.001868221,2.598638081
305,10000000,73.08062899,73.07964177,74.93942703,-0.001350866,2.543489381
310,10000000,71.13300774,71.13226595,72.90252435,-0.001042821,2.487616743
315,10000000,69.315583,69.31499657,71.00111631,-0.000846028,2.431680208
320,10000000,67.61399769,67.6135446,69.22061479,-0.000670114,2.376160486
325,10000000,66.01605528,66.01574272,67.54855579,-0.000473464,2.321405756
330,10000000,64.51131683,64.5111479,65.97421776,-0.000261863,2.267665584
335,10000000,63.09078624,63.09074601,64.48832018,-6.38E-05,2.215115744
340,10000000,61.74666171,61.74672064,63.08278324,9.54E-05,2.163876544
345,10000000,60.47213771,60.47226329,61.75053471,0.000207665,2.114026473
350,10000000,59.26124575,59.26141253,60.48535341,0.000281437,2.065612445
355,10000000,58.1087252,58.10891879,59.28174136,0.00033315,2.018657524
360,10000000,57.00991787,57.01013298,58.13481864,0.000377317,1.973166797
365,10000000,55.96068113,55.96091678,57.04023646,0.000421104,1.92913186
370,10000000,54.95731599,54.9575711,55.99410458,0.000464185,1.886534252
375,10000000,53.99650715,53.99677823,54.99293067,0.000502031,1.845348099
380,10000000,53.07527266,53.07555408,54.03356908,0.000530228,1.805542159
385,10000000,52.19092152,52.19120692,53.11317758,0.000546825,1.76708139
390,10000000,51.34101772,51.3413016,52.22918045,0.000552927,1.729928176
395,10000000,50.52334958,50.52362821,51.37923698,0.00055149,1.694043267
400,10000000,49.73590353,49.73617489,50.5612144,0.000545604,1.659386508
405,10000000,48.97684155,48.97710471,49.77316454,0.000537312,1.625917396
410,10000000,48.24448174,48.24473612,49.01330364,0.000527274,1.593595513
415,10000000,47.5372814,47.53752631,48.27999479,0.000515193,1.562380848
420,10000000,46.85382239,46.85405692,47.5717326,0.000500566,1.532234045
425,10000000,46.19279826,46.19302147,46.88712987,0.000483207,1.503116585
430,10000000,45.55300312,45.55321424,46.22490577,0.000463469,1.474990916
435,10000000,44.93332166,44.9335202,45.58387552,0.000441871,1.447820547
440,10000000,44.33272054,44.33290617,44.96294124,0.000418732,1.42157011
445,10000000,43.75024066,43.75041303,44.36108388,0.000394,1.396205395
450,10000000,43.18499034,43.185149,43.77735599,0.0003674,1.371693374
455,10000000,42.63613928,42.63628378,43.21087537,0.000338916,1.348002198
460,10000000,42.10291313,42.1030433,42.66081933,0.000309175,1.325101198
465,10000000,41.58458868,41.58470489,42.1264196,0.000279448,1.30296086
470,10000000,41.08048955,41.08059269,41.60695772,0.000251058,1.281552811
475,10000000,40.58998228,40.59007339,41.10176098,0.000224473,1.260849785
480,10000000,40.11247284,40.11255252,40.61019867,0.000198654,1.240825595
485,10000000,39.64740351,39.64747142,40.13167875,0.000171269,1.221455103
490,10000000,39.19425003,39.19430488,39.66564483,0.000139932,1.202714178
495,10000000,38.75251901,38.75255931,39.21157347,0.000103994,1.184579665
500,10000000,38.32174559,38.3217708,38.76897161,6.58E-05,1.16702935
505,10000000,37.90149139,37.90150277,38.33737442,3.00E-05,1.150041919
510,10000000,37.49134247,37.49134306,37.91634318,1.57E-06,1.133596927
515,10000000,37.09090768,37.09090092,37.5054634,-1.82E-05,1.117674761
520,10000000,36.699817,36.6998046,37.10434316,-3.38E-05,1.102256605
525,10000000,36.31772007,36.31770039,36.71261151,-5.42E-05,1.087324407
530,10000000,35.94428489,35.94425309,36.32991705,-8.85E-05,1.072860847
535,10000000,35.57919652,35.57914713,35.95592659,-0.000138815,1.058849305
540,10000000,35.22215603,35.22208686,35.59032401,-0.000196364,1.045273831
545,10000000,34.87287939,34.87279463,35.23280905,-0.000243068,1.032119117
550,10000000,34.53109658,34.53100637,34.88309638,-0.000261244,1.019370466
555,10000000,34.19655062,34.19646624,34.54091459,-0.000246758,1.007013769
560,10000000,33.86899684,33.86892301,34.20600538,-0.000218002,0.995035476
565,10000000,33.54820209,33.54813078,33.87812268,-0.000212568,0.983422574
570,10000000,33.23394403,33.23385472,33.557032,-0.000268732,0.972162561
575,10000000,32.92601052,32.92587969,33.24250963,-0.000397345,0.961243425
580,10000000,32.62419898,32.62401707,32.93434211,-0.000557603,0.950653624
585,10000000,32.32831586,32.32810505,32.63232555,-0.000652095,0.940382061
590,10000000,32.03817614,32.03799995,32.33626512,-0.000549951,0.93041807
595,10000000,31.75360281,31.7535601,32.04597455,-0.000134487,0.920751393
600,10000000,31.47442643,31.47462816,31.76127559,0.000640951,0.911372164
