exp_Tr,P(MPa),exp_alpha_7MPa,P(MPa),exp_alpha_7.5MPa,P(MPa),exp_alpha_6.5MPa,,,exp_Tr,exp_alpha_7MPa,exp_alpha_7.5MPa,exp_alpha_6.5MPa
1.009536337,7,0.985323326,7.5,0.991194296,6.5,0.979492673,,,1.009536337,0.985323326,0.991194296,0.979492673
1.012824729,7,0.981772763,7.5,0.987502007,6.5,0.976093797,,,1.012824729,0.981772763,0.987502007,0.976093797
1.016113121,7,0.978302727,7.5,0.98389939,6.5,0.972764265,,,1.016113121,0.978302727,0.98389939,0.972764265
1.022689905,7,0.971570974,7.5,0.976927439,6.5,0.966257325,,,1.022689905,0.971570974,0.976927439,0.966257325
1.025978297,7,0.968279161,7.5,0.973547084,6.5,0.963053286,,,1.025978297,0.968279161,0.973547084,0.963053286
1.029266689,7,0.965058785,7.5,0.970223349,6.5,0.959925477,,,1.029266689,0.965058785,0.970223349,0.959925477
1.032555081,7,0.961877599,7.5,0.966960345,6.5,0.956817487,,,1.032555081,0.961877599,0.966960345,0.956817487
1.035843473,7,0.958756136,7.5,0.963755275,6.5,0.953791276,,,1.035843473,0.958756136,0.963755275,0.953791276
1.039131865,7,0.955662747,7.5,0.960593964,6.5,0.950760369,,,1.039131865,0.955662747,0.960593964,0.950760369
1.042420256,7,0.952609615,7.5,0.95747369,6.5,0.947770777,,,1.042420256,0.952609615,0.95747369,0.947770777
1.045708648,7,0.949635356,7.5,0.954402334,6.5,0.944815458,,,1.045708648,0.949635356,0.954402334,0.944815458
1.04899704,7,0.946652277,7.5,0.951387249,6.5,0.941938205,,,1.04899704,0.946652277,0.951387249,0.941938205
