TITLE = "Decane T rho" 

  VARIABLES = T	v_NIST_0.1Mpa	v_Soave_0.1Mpa	v_new_0.1Mpa	v_NIST_1Mpa	v_Soave_1Mpa	v_new_1Mpa	v_NIST_2Mpa	v_Soave_2Mpa	v_new_2Mpa	v_NIST_3Mpa	v_Soave_3Mpa	v_new_3Mpa	v_NIST_5Mpa	v_Soave_5Mpa	v_new_5Mpa	v_NIST_10Mpa	v_Soave_10Mpa	v_new_10Mpa
730	0.42283	0.421598033	0.422565133	0.038866	0.037550321	0.038669254	0.017492	0.016047284	0.017394909	0.010361	0.00881278	0.010425452	0.004842	0.004135517	0.005430352	0.0027566	0.002691309	0.003082588
740	0.42883	0.427555219	0.428551035	0.039632	0.038271462	0.03941277	0.017998	0.016514119	0.017865376	0.010801	0.00922933	0.010810596	0.0052072	0.004354716	0.005693704	0.0028352	0.002748058	0.00317199
750	0.43482	0.433509196	0.4345405	0.040387	0.038987208	0.040158563	0.018489	0.016970344	0.01833577	0.011218	0.009626117	0.01119332	0.0055547	0.004580687	0.005960813	0.0029177	0.002806859	0.003267558
760	0.44081	0.439460101	0.440538532	0.041133	0.039697924	0.040912121	0.018965	0.017417172	0.018812265	0.011617	0.010006462	0.011580421	0.005884	0.004810695	0.006236431	0.003004	0.002867699	0.003371892
770	0.44679	0.445408061	0.446546586	0.04187	0.040403938	0.041674882	0.019429	0.017855612	0.019296343	0.011999	0.010372899	0.011973435	0.0061961	0.005042369	0.006520916	0.0030944	0.002930553	0.00348599
780	0.45276	0.451353199	0.452562242	0.042599	0.041105546	0.04244407	0.019882	0.018286513	0.019784912	0.012367	0.010727406	0.012369098	0.0064927	0.005273838	0.00681037	0.0031887	0.002995378	0.00360871
790	0.45873	0.45729563	0.458579562	0.04332	0.041803021	0.043213258	0.020325	0.018710596	0.020271168	0.012723	0.01107156	0.012760481	0.0067757	0.005503732	0.007097663	0.0032869	0.003062121	0.00373667
800	0.46469	0.463235461	0.464590148	0.044034	0.042496607	0.043973644	0.020759	0.019128481	0.020746112	0.013068	0.011406633	0.013138674	0.0070465	0.005731119	0.007374033	0.0033888	0.003130713	0.00386472
810	0.47064	0.469172797	0.470584884	0.044742	0.043186531	0.044715933	0.021185	0.019540703	0.021200538	0.013403	0.011733673	0.013494806	0.0073066	0.005955413	0.007630973	0.0034941	0.003201076	0.003986994
820	0.4766	0.475107734	0.476556136	0.045444	0.043872998	0.045432591	0.021603	0.019947731	0.021627261	0.01373	0.012053549	0.013822179	0.0075572	0.006176284	0.00786215	0.0036025	0.003273118	0.004098335
830	0.48254	0.481040365	0.48250005	0.04614	0.0445562	0.046120091	0.022014	0.020349973	0.02202326	0.014049	0.012366994	0.014118255	0.0077992	0.006393581	0.008065137	0.0037134	0.003346741	0.004195772
840	0.48849	0.486970778	0.488418398	0.046832	0.045236311	0.046780677	0.02242	0.020747793	0.022391305	0.01436	0.012674631	0.014386173	0.0080335	0.006607277	0.008242735	0.0038265	0.003421839	0.004279705
850	0.49443	0.492899057	0.494319352	0.047518	0.045913492	0.047423071	0.022819	0.021141512	0.022740597	0.014665	0.012976993	0.014635325	0.0082609	0.006817426	0.008403491	0.0039412	0.0034983	0.004354479
860	0.50036	0.49882528	0.500216665	0.0482	0.046587894	0.048061583	0.023214	0.021531418	0.02308585	0.014965	0.013274542	0.014880471	0.008482	0.007024132	0.008560926	0.0040569	0.003576009	0.004428026
870	0.5063	0.504749523	0.50612697	0.048878	0.047259655	0.048713334	0.023603	0.021917768	0.023444475	0.015259	0.01356768	0.015138939	0.0086974	0.007227527	0.008730999	0.0041732	0.003654851	0.00451035
880	0.51222	0.510671859	0.512065419	0.049553	0.047928904	0.04939373	0.023988	0.022300794	0.023831938	0.015548	0.01385676	0.01542599	0.0089075	0.00742776	0.00892776	0.0042896	0.003734711	0.004610836
890	0.51815	0.516592355	0.51804041	0.050223	0.048595761	0.050111014	0.024369	0.022680707	0.024256209	0.015832	0.014142092	0.015749246	0.0091129	0.007624987	0.00915811	0.0044058	0.003815476	0.004734783
900	0.52407	0.522511076	0.524048703	0.05089	0.049260338	0.050861385	0.024745	0.023057695	0.024712949	0.016112	0.014423953	0.016104023	0.0093139	0.007819363	0.009417471	0.0045215	0.003897038	0.004880137
910	0.52999	0.528428086	0.530072535	0.051554	0.049922739	0.051626433	0.025119	0.023431933	0.025183336	0.016389	0.014702588	0.0164715	0.0095108	0.00801104	0.009688325	0.0046363	0.003979292	0.005035745
920	0.53591	0.534343442	0.536080353	0.052214	0.050583063	0.052374377	0.025488	0.023803578	0.025635802	0.016661	0.014978216	0.016820823	0.009704	0.008200165	0.009942453	0.0047502	0.004062139	0.00518221
930	0.54183	0.540257202	0.542032279	0.052872	0.0512414	0.05306581	0.025855	0.024172776	0.026031931	0.016931	0.015251038	0.017114981	0.0098937	0.008386876	0.010146404	0.0048629	0.004145487	0.005295525
940	0.54774	0.546169421	0.547890689	0.053527	0.051897837	0.053663878	0.026219	0.02453966	0.026336068	0.017197	0.01552123	0.017319777	0.01008	0.008571306	0.010269287	0.0049743	0.00422925	0.005352923
950	0.55365	0.552080148	0.553635208	0.05418	0.052552455	0.054148335	0.026579	0.024904353	0.026528264	0.01746	0.015788955	0.017415718	0.010264	0.008753579	0.010292919	0.0050845	0.004313349	0.005340641
960	0.55956	0.557989435	0.559280388	0.05483	0.053205329	0.05453271	0.026938	0.025266966	0.026620738	0.01772	0.016054361	0.017413655	0.010444	0.008933811	0.010225748	0.0051933	0.00439771	0.005264245
970	0.56547	0.563897328	0.564893367	0.055478	0.053856531	0.054883208	0.027293	0.025627606	0.026677818	0.017978	0.016317581	0.017375286	0.010622	0.009112109	0.010122846	0.0053007	0.004482267	0.005162559
980	0.57137	0.569803873	0.570608015	0.056124	0.054506128	0.055335659	0.027647	0.025986369	0.026835851	0.018233	0.016578739	0.017435432	0.010798	0.009288577	0.010109943	0.0054067	0.004566962	0.005123335
990	0.57727	0.575709112	0.576631571	0.056767	0.055154185	0.056101719	0.027998	0.026343345	0.027309092	0.018486	0.016837948	0.017807863	0.010971	0.009463307	0.010389586	0.0055113	0.00465174	0.005289083
1000	0.58318	0.581613089	0.583239818	0.057409	0.05580076	0.057449662	0.028347	0.026698618	0.028355063	0.018737	0.017095311	0.018737741	0.011142	0.009636389	0.01118135	0.0056146	0.004736553	0.0058265
