Tr,Pr,bias uncorrected model,bias corrected model,bias,upper,lower,Nist,PR_alpha,,,,,
1.189898009,0.5,0.902243808,0.777468031,-0.124775777,0.788098329,0.766837732,0.77135212,0.816147243,0.777468031,0.816147243,0.777468031,0.816147243,0.777468031
1.197992553,0.5,0.8908305,0.770205321,-0.12062518,0.780835619,0.759575022,0.764282116,0.809045377,0.770205321,0.809045377,0.770205321,0.809045377,0.770205321
1.206087097,0.5,0.879417193,0.763136852,-0.11628034,0.773767151,0.752506554,0.75734092,0.801998342,0.763136852,0.801998342,0.763136852,0.801998342,0.763136852
1.214181642,0.5,0.868003885,0.756234402,-0.111769484,0.7668647,0.745604103,0.750524594,0.795005585,0.756234402,0.795005585,0.756234402,0.795005585,0.756234402
1.222276186,0.5,0.856590578,0.749467806,-0.107122772,0.760098104,0.738837507,0.743829354,0.788066565,0.749467806,0.788066565,0.749467806,0.788066565,0.749467806
1.23037073,0.5,0.845177271,0.742808357,-0.102368913,0.753438656,0.732178059,0.737251565,0.781180749,0.742808357,0.781180749,0.742808357,0.781180749,0.742808357
1.238465274,0.5,0.833763963,0.736231708,-0.097532255,0.746862007,0.72560141,0.730787731,0.774347613,0.736231708,0.774347613,0.736231708,0.774347613,0.736231708
1.246559819,0.5,0.822350656,0.72971999,-0.092630665,0.740350289,0.719089692,0.72443449,0.767566642,0.72971999,0.767566642,0.72971999,0.767566642,0.72971999
1.254654363,0.5,0.810937348,0.723262972,-0.087674376,0.73389327,0.712632673,0.718188608,0.760837328,0.723262972,0.760837328,0.723262972,0.760837328,0.723262972
1.262748907,0.5,0.799524041,0.716858197,-0.082665844,0.727488495,0.706227898,0.71204697,0.754159171,0.716858197,0.754159171,0.716858197,0.754159171,0.716858197
1.270843452,0.5,0.788110733,0.710510182,-0.077600551,0.72114048,0.699879883,0.706006577,0.747531681,0.710510182,0.747531681,0.710510182,0.747531681,0.710510182
1.278937996,0.5,0.776697426,0.70422885,-0.072468575,0.714859149,0.693598552,0.700064541,0.740954375,0.70422885,0.740954375,0.70422885,0.740954375,0.70422885
1.28703254,0.5,0.765284119,0.698027455,-0.067256663,0.708657754,0.687397157,0.694218079,0.734426777,0.698027455,0.734426777,0.698027455,0.734426777,0.698027455
1.295127084,0.5,0.753870811,0.691920287,-0.061950524,0.702550585,0.681289988,0.688464507,0.727948418,0.691920287,0.727948418,0.691920287,0.727948418,0.691920287
1.303221629,0.5,0.742457504,0.685920466,-0.056537037,0.696550765,0.675290168,0.682801238,0.721518838,0.685920466,0.721518838,0.685920466,0.721518838,0.685920466
1.311316173,0.5,0.731044196,0.680038082,-0.051006114,0.69066838,0.669407783,0.677225777,0.715137583,0.680038082,0.715137583,0.680038082,0.715137583,0.680038082
1.319410717,0.5,0.719630889,0.674278873,-0.045352016,0.684909172,0.663648575,0.671735716,0.708804206,0.674278873,0.708804206,0.674278873,0.708804206,0.674278873
1.327505261,0.5,0.708217581,0.66864358,-0.039574001,0.679273878,0.658013281,0.666328731,0.702518267,0.66864358,0.702518267,0.66864358,0.702518267,0.66864358
1.335599806,0.5,0.696804274,0.663127985,-0.033676289,0.673758283,0.652497686,0.661002579,0.696279333,0.663127985,0.696279333,0.663127985,0.696279333,0.663127985
1.34369435,0.5,0.685390966,0.65772359,-0.027667376,0.668353889,0.647093292,0.655755094,0.690086978,0.65772359,0.690086978,0.65772359,0.690086978,0.65772359
1.351788894,0.5,0.673977659,0.652418793,-0.021558866,0.663049092,0.641788495,0.650584182,0.68394078,0.652418793,0.68394078,0.652418793,0.68394078,0.652418793
1.359883439,0.5,0.662564352,0.647200376,-0.015363975,0.657830675,0.636570078,0.645487824,0.677840327,0.647200376,0.677840327,0.647200376,0.677840327,0.647200376
1.367977983,0.5,0.651151044,0.642055097,-0.009095947,0.652685395,0.631424798,0.640464064,0.67178521,0.642055097,0.67178521,0.642055097,0.67178521,0.642055097
1.376072527,0.5,0.639737737,0.636971167,-0.00276657,0.647601465,0.626340868,0.635511014,0.665775027,0.636971167,0.665775027,0.636971167,0.665775027,0.636971167
1.384167071,0.5,0.628324429,0.631939438,0.003615009,0.642569737,0.62130914,0.630626848,0.659809383,0.631939438,0.659809383,0.631939438,0.659809383,0.631939438
1.392261616,0.5,0.616911122,0.626954161,0.010043039,0.637584459,0.616323862,0.6258098,0.653887888,0.626954161,0.653887888,0.626954161,0.653887888,0.626954161
1.40035616,0.5,0.605497814,0.622013235,0.016515421,0.632643534,0.611382937,0.621058161,0.648010156,0.622013235,0.648010156,0.622013235,0.648010156,0.622013235
1.408450704,0.5,0.594084507,0.617117969,0.023033462,0.627748267,0.60648767,0.616370279,0.64217581,0.617117969,0.64217581,0.617117969,0.64217581,0.617117969
1.416545249,0.5,0.5826712,0.612272385,0.029601185,0.622902683,0.601642086,0.611744553,0.636384475,0.612272385,0.636384475,0.612272385,0.636384475,0.612272385
1.424639793,0.5,0.571257892,0.60748221,0.036224317,0.618112508,0.596851911,0.607179435,0.630635783,0.60748221,0.630635783,0.60748221,0.630635783,0.60748221
1.432734337,0.5,0.559844585,0.602753693,0.042909108,0.613383992,0.592123395,0.602673425,0.624929372,0.602753693,0.624929372,0.602753693,0.624929372,0.602753693
1.440828881,0.5,0.548431277,0.598092425,0.049661148,0.608722723,0.587462126,0.598225071,0.619264884,0.598092425,0.619264884,0.598092425,0.619264884,0.598092425
1.448923426,0.5,0.53701797,0.593502321,0.056484351,0.604132619,0.582872022,0.593832967,0.613641965,0.593502321,0.613641965,0.593502321,0.613641965,0.593502321
