TITLE = "decane alpha prediction MODEL 3"
VARIABLES =  "Tr"	"Pr"	"bias corrected model"	"traning data"	"bias uncorrected model"	"upper"	"lower"	"bias"

ZONE I=100 J=9
1.587021257	1.4151	0.520835837	0.520725299	0.096873768	0.532829063	0.508842612	0.42396207
1.597650456	1.4151	0.515524767	0.515328011	0.069624401	0.527517993	0.503531542	0.445900366
1.608279656	1.4151	0.510013837	0.510005473	0.042375035	0.522007063	0.498020611	0.467638802
1.618908855	1.4151	0.504002122	0.504755707	0.015125668	0.515995347	0.492008896	0.488876453
0.566618099	1.8868	2.598917342	2.604624188	2.739284671	2.610910568	2.586924116	-0.140367328
0.577247299	1.8868	2.458605804	2.456309408	2.712035304	2.47059903	2.446612579	-0.2534295
0.587876499	1.8868	2.33313452	2.329709507	2.684785938	2.345127746	2.321141295	-0.351651417
0.598505698	1.8868	2.222191376	2.220393052	2.657536571	2.234184602	2.210198151	-0.435345195
0.609134898	1.8868	2.124815783	2.125053908	2.630287205	2.136809009	2.112822558	-0.505471421
0.619764097	1.8868	2.039598665	2.041175189	2.603037838	2.051591891	2.027605439	-0.563439173
0.630393297	1.8868	1.964889939	1.966806833	2.575788472	1.976883164	1.952896713	-0.610898533
0.641022496	1.8868	1.89898987	1.900414355	2.548539105	1.910983096	1.886996644	-0.649549235
0.651651696	1.8868	1.840305299	1.840773566	2.521289739	1.852298525	1.828312074	-0.680984439
0.662280895	1.8868	1.787458524	1.786895726	2.494040372	1.79945175	1.775465298	-0.706581848
0.672910095	1.8868	1.739344421	1.73797335	2.466791006	1.751337647	1.727351196	-0.727446584
0.683539295	1.8868	1.695138981	1.693340301	2.439541639	1.707132207	1.683145756	-0.744402658
0.694168494	1.8868	1.654268629	1.652441963	2.412292273	1.666261854	1.642275403	-0.758023644
0.704797694	1.8868	1.616353777	1.614812638	2.385042906	1.628347003	1.604360552	-0.768689129
0.715426893	1.8868	1.5811415	1.580058203	2.35779354	1.593134726	1.569148274	-0.77665204
0.726056093	1.8868	1.548441097	1.547842653	2.330544173	1.560434323	1.536447871	-0.782103076
0.736685292	1.8868	1.518073213	1.517877545	2.303294807	1.530066439	1.506079987	-0.785221594
0.747314492	1.8868	1.489838671	1.489913632	2.27604544	1.501831897	1.477845445	-0.786206769
0.757943691	1.8868	1.463508408	1.463734183	2.248796074	1.475501634	1.451515182	-0.785287666
0.768572891	1.8868	1.438831594	1.439149591	2.221546707	1.45082482	1.426838369	-0.782715113
0.779202091	1.8868	1.415555935	1.415992988	2.194297341	1.427549161	1.403562709	-0.778741406
0.78983129	1.8868	1.393452689	1.394116655	2.167047974	1.405445915	1.381459463	-0.773595285
0.80046049	1.8868	1.372339143	1.373389059	2.139798608	1.384332368	1.360345917	-0.767459465
0.811089689	1.8868	1.352092844	1.353692378	2.112549241	1.36408607	1.340099618	-0.760456397
0.821718889	1.8868	1.332654436	1.334920443	2.085299875	1.344647661	1.32066121	-0.752645439
0.832348088	1.8868	1.314018709	1.316976987	2.058050508	1.326011935	1.302025484	-0.744031799
0.842977288	1.8868	1.29621606	1.299774171	2.030801142	1.308209286	1.284222834	-0.734585082
0.853606487	1.8868	1.279288319	1.283231316	2.003551775	1.291281545	1.267295093	-0.724263456
0.864235687	1.8868	1.263263764	1.267273821	1.976302409	1.27525699	1.251270538	-0.713038645
0.874864887	1.8868	1.24813592	1.251832235	1.949053042	1.260129146	1.236142694	-0.700917123
0.885494086	1.8868	1.233849692	1.236841465	1.921803676	1.245842918	1.221856466	-0.687953984
0.896123286	1.8868	1.220296792	1.222240097	1.894554309	1.232290018	1.208303567	-0.674257517
0.906752485	1.8868	1.207320615	1.207969855	1.867304943	1.219313841	1.19532739	-0.659984328
0.917381685	1.8868	1.194729122	1.193975164	1.840055577	1.206722348	1.182735896	-0.645326454
0.928010884	1.8868	1.182313095	1.180202865	1.81280621	1.194306321	1.170319869	-0.630493115
0.938640084	1.8868	1.16986654	1.166602073	1.785556844	1.181859766	1.157873314	-0.615690303
0.949269283	1.8868	1.157206025	1.153124213	1.758307477	1.169199251	1.145212799	-0.601101452
0.959898483	1.8868	1.144186259	1.139723247	1.731058111	1.156179485	1.132193033	-0.586871852
0.970527683	1.8868	1.130710123	1.126356063	1.703808744	1.142703349	1.118716897	-0.573098621
0.981156882	1.8868	1.116732373	1.112982928	1.676559378	1.128725599	1.104739147	-0.559827004
0.991786082	1.8868	1.102257267	1.099567755	1.649310011	1.114250492	1.090264041	-0.547052744
1.002415281	1.8868	1.087331173	1.086077611	1.622060645	1.099324399	1.075337948	-0.534729471
1.013044481	1.8868	1.072031788	1.072480484	1.594811278	1.084025014	1.060038562	-0.52277949
1.02367368	1.8868	1.056455794	1.05873975	1.567561912	1.06844902	1.044462568	-0.511106118
1.03430288	1.8868	1.040706778	1.044803325	1.540312545	1.052700004	1.028713552	-0.499605767
1.044932079	1.8868	1.024884888	1.03058573	1.513063179	1.036878114	1.012891662	-0.488178291
1.055561279	1.8868	1.009079269	1.01594386	1.485813812	1.021072495	0.997086043	-0.476734543
1.066190479	1.8868	0.993363776	1.000657203	1.458564446	1.005357001	0.98137055	-0.46520067
1.076819678	1.8868	0.977795907	0.984455513	1.431315079	0.989789133	0.965802681	-0.453519172
1.087448878	1.8868	0.962418457	0.967206076	1.404065713	0.974411683	0.950425231	-0.441647256
1.098078077	1.8868	0.947263026	0.949315001	1.376816346	0.959256252	0.9352698	-0.42955332
1.108707277	1.8868	0.932354369	0.931774273	1.34956698	0.944347595	0.920361143	-0.417212611
1.119336476	1.8868	0.917714552	0.915351898	1.322317613	0.929707777	0.905721326	-0.404603062
1.129965676	1.8868	0.903366057	0.900153779	1.295068247	0.915359283	0.891372831	-0.39170219
1.140594875	1.8868	0.889333278	0.885964358	1.26781888	0.901326504	0.877340052	-0.378485602
1.151224075	1.8868	0.875642202	0.872546978	1.240569514	0.887635428	0.863648976	-0.364927312
1.161853275	1.8868	0.862318492	0.859725093	1.213320147	0.874311718	0.850325266	-0.351001655
1.172482474	1.8868	0.849384481	0.847379255	1.186070781	0.861377707	0.837391255	-0.3366863
1.183111674	1.8868	0.83685583	0.835429959	1.158821414	0.848849056	0.824862604	-0.321965585
1.193740873	1.8868	0.824738641	0.823823516	1.131572048	0.836731866	0.812745415	-0.306833407
1.204370073	1.8868	0.813027722	0.812522621	1.104322681	0.825020948	0.801034496	-0.291294959
